"article_id","prod_name","product_type_name","product_group_name","graphical_appearance_name","colour_group_name","garment_group_name","detail_desc"
"0695255001","Siv t-shirt","T-shirt","Garment Upper body","All over pattern","Dark Blue","Jersey Fancy","Short-sleeved top in soft viscose jersey with a unique nursing feature. The design includes a double layer at the top to help retain warmth while allowing easier nursing access."
"0821115007","RICHIE SKIRT","Skirt","Garment Lower body","Check","Pink","Skirts","Short, pleated skirt in woven fabric with a high waist and concealed zip and press-stud at one side. Unlined."
"0553238008","THORN LS TEE","Sweater","Garment Upper body","Solid","White","Jersey Basic","Wide, long-sleeved top in soft cotton jersey with an open chest pocket, ribbing around the neckline and short slits in the sides. Loose fit."
"0627147001","Bling Me Up Push","Bikini top","Swimwear","Lace","Dark Red","Swimwear","Fully lined bikini top with hole-patterned, underwired, moulded, padded cups that lift and shape, and ties at the back of the neck."
"0794520001","Plus seam at back 1p tights","Underwear Tights","Socks & Tights","Solid","Black","Socks and Tights","Tights with a seam down the back of the legs. 30 denier."
"0697564030","KELLY SHIRT S.0","Shirt","Garment Upper body","Stripe","Blue","Blouses","Shirt in airy cotton with a collar, buttons down the front, long sleeves with buttoned cuffs, and a rounded hem."
"0698715001","Emma Fancy Slipon SG","Sneakers","Shoes","Placement print","Light Pink","Shoes","Slip-on trainers in cotton canvas with a print motif and sequins. Glittery elastic gores in the sides and a loop at the back. Contrasting colour canvas linings and insoles and rubber soles."
"0526562001","Sonny jogger","Trousers","Garment Lower body","Solid","Black","Trousers","Pull-on trousers in stretch cotton twill with an elasticated drawstring waist, fake fly, side pockets and fake back pockets. Tapered legs with gathers below the knees and a zip at the hems."
"0649099001","Polkagris","Shorts","Garment Lower body","Stripe","Red","Shorts","Shorts in a viscose and cotton weave containing some linen with a high paper bag waist and fly with a concealed zip. Pleats at the top, a detachable tie belt, side pockets and short legs with sewn-in turn-ups. Unlined."
"0762061003","2P S/J pants","Trousers","Garment Lower body","All over pattern","Light Turquoise","Jersey Basic","Trousers in soft organic cotton jersey with an elasticated drawstring waist."
"0646152001","ES Mia tee","T-shirt","Garment Upper body","Solid","White","Jersey Fancy","Fitted T-shirt in airy cotton jersey."
"0767228003","FASHION OFFER GRAYHAM  SET","Garment Set","Garment Full body","Placement print","Dark Orange","Jersey Fancy","Set with a top in lightweight sweatshirt fabric and pair of leggings in soft jersey. Printed top with press-studs on one shoulder. Leggings with an elasticated waist and ribbed hems."
"0786347001","Katie","Dress","Garment Full body","Solid","Black","Jersey Basic","Straight-cut dress in ribbed jersey with a turtle neck and long sleeves."
"0564310012","Anthony 3pk  Fancy","Underwear bottom","Underwear","All over pattern","Light Pink","Under-, Nightwear","Trunks in stretch cotton jersey with flatlock seams, short legs, an elasticated waist and a lined front."
"0819758001","ROXO REGULAR CREW","Sweater","Garment Upper body","Placement print","Black","Jersey Fancy","Long-sleeved top in sturdy, printed jersey with a round neckline and ribbing at the cuffs and hem."
"0558825002","APRIL SHIRT S.7","Shirt","Garment Upper body","Check","Light Orange","Blouses","Long shirt in an airy viscose weave with a collar, buttons down the front and chest pocket. Long sleeves with buttoned cuffs and a rounded hem with slits in the sides. Slightly longer at the back."
"0783707070","1pk Fun","Socks","Socks & Tights","All over pattern","Orange","Socks and Tights","Socks in a soft, jacquard-knit cotton blend with elasticated tops."
"0738401001","PE MAJ DRESS","Dress","Garment Full body","All over pattern","White","Unknown","Calf-length dress in a snakeskin-patterned, airy weave with a draped front and decorative wrapover detail at the top. Long sleeves with a width that creates an asymmetric finish, draping with a sewn-in wrapover at the back, a seam at the waist and draped skirt with a slit at the front. Concealed zip in one side. Lined skirt."
"0772324004","Wippet blazer","Blazer","Garment Upper body","Solid","Dark Green","Dressed","Jacket in woven fabric with a sheen. Shawl collar, concealed pockets in the side seams, 3/4-length sleeves with gathers at the cuffs, and a tie belt at the waist. No fasteners. Lined."
"0709902001","Shanta Shorts","Shorts","Garment Lower body","Lace","Dark Blue","Trousers","Shorts in stretch twill with an adjustable elasticated waist, zip fly and press-stud, front and back pockets and a lace trim at the hems."
"0664715001","Cable tights","Underwear Tights","Socks & Tights","Solid","Off White","Socks and Tights","Tights in a soft, cable-knit cotton blend with an elasticated waist."
"0591800001","Lime bikini hipster BIG","Swimwear bottom","Swimwear","Solid","Black","Swimwear","Fully lined bikini bottoms with a mid waist and laser-cut scalloped edges."
"0681891001","ED Roman blouse","Top","Garment Upper body","Solid","Pink","Blouses","Blouse in airy chiffon crêpe with embroidery, a V-neck with buttons at the front and a stand-up collar with a small frill. Frill at the front that continues over the shoulders, long sleeves with a wide flounce at the cuffs, and a wide flounce at the hem. Unlined."
"0536952001","Hamza","Top","Garment Upper body","Solid","Black","Jersey Fancy","Fitted jersey top with a heart-shaped neckline and long sleeves."
"0559069004","MY hood","Hoodie","Garment Upper body","Melange","Blue","Knitwear","Fine-knit hooded jumper in a soft viscose blend with a motif on the front, long sleeves with gathered seams, and a drawstring at the hem."
"0606083005","Leona long dress","Dress","Garment Full body","All over pattern","Black","Jersey Fancy","Long dress in patterned viscose jersey with smocking at the top and narrow shoulder straps."
"0891890005","TORONTO regular crew","Sweater","Garment Upper body","Front print","Light Grey","Jersey Fancy","Long-sleeved top in sweatshirt fabric with a soft brushed inside. Ribbing around the neckline, cuffs and hem."
"0344956011","Flirty Romi waterbottle","Other accessories","Accessories","All over pattern","White","Accessories","Plastic water bottle with a screw top and practical wrist strap that also holds the top in place. Capacity 550 ml."
"0754018002","Relaxed tap basic 89","Trousers","Garment Lower body","Denim","Black","Trousers Denim","5-pocket jeans in washed, stretch denim in a relaxed fit with an adjustable, elasticated waist, zip fly and button and tapered legs."
"0853006001","Lily NEW SL (W)","Pyjama set","Nightwear","All over pattern","Black","Under-, Nightwear","Pyjamas with a strappy top and pair of shorts in patterned satin. Top with adjustable spaghetti shoulder straps. Shorts with covered elastication and a frill trim at the waist."
"0858037001","Ohoj shorts","Shorts","Garment Lower body","Solid","Dark Blue","Trousers","High-waisted shorts in woven fabric with decorative buttons at the front. Zip fly with a hook-and-eye fastener, and fake welt pockets at the back."
"0659453002","Palme Parka","Coat","Garment Upper body","Solid","Dark Green","Outdoor","Short, lightly padded parka in washed cotton twill with a collar with a detachable faux fur trim and a zip and wind flap with concealed press-studs down the front. Chest pockets and front pockets with a flap and concealed press-stud, a concealed drawstring at the waist and hem, and a tab with a hook and loop fastener at the cuffs. Lined."
"0892427001","Flirty Moonlight bracelet pk","Bracelet","Accessories","Solid","Light Pink","Accessories","Bracelets in different designs of thin metal chains. Adjustable length, approx. 19-26 cm."
"0564988007","BRENDA bomber","Jacket","Garment Upper body","Solid","Dark Blue","Outdoor","Padded bomber jacket in woven fabric with a slight sheen. Small, ribbed stand-up collar, zip down the front, flap side pockets with a press-stud and a gathered seam at the back and down the sleeves. Ribbing at the cuffs and hem. Lined."
"0621915002","Jupiter Sandal","Sandals","Shoes","Solid","Yellowish Brown","Shoes","Low, imitation leather sandals with an elasticated heel strap. Rubber insoles and soles."
"0501436007","Alex","Sweater","Garment Upper body","Melange","Dark Grey","Knitwear","Fine-knit V-neck jumper in a soft viscose blend in a straight style with long sleeves and slits in the sides. Slightly longer at the back."
"0547863001","Gift","Dress","Garment Full body","All over pattern","Black","Dresses Ladies","Dress in a patterned crêpe weave with a low stand-up collar, buttons down the front, some of which are concealed, a gathered yoke at the back, long sleeves with buttoned cuffs and a rounded hem. Slightly longer at the back. Unlined."
"0661755001","CC MIA trousers BG","Trousers","Garment Lower body","Melange","Dark Red","Jersey Basic","Joggers in soft sweatshirt fabric with an elasticated waist and legs with stripes down the sides and ribbed hems. Soft brushed inside. The cotton content of the joggers is partly recycled."
"0538458002","Ina","Sweater","Garment Upper body","Melange","Dark Grey","Knitwear","Jumper in fine-knit merino wool with a V-neck, dropped shoulders and ribbing around the neckline, cuffs and hem."
"0648339001","DIV Mel maxi dress","Dress","Garment Full body","All over pattern","Blue","Blouses","Maxi dress in woven fabric with a V-neck and narrow shoulder straps. Elasticated seam at the waist and a straight-cut, softly draping skirt with high slits in the sides."
"0617303001","Able WCT pants","Trousers","Garment Lower body","Solid","Black","Jersey Fancy","Joggers with an elasticated drawstring waist, side pockets and contrasting colour stripes down legs."
"0854092002","PQ ROLEX LINEN TEE","T-shirt","Garment Upper body","Solid","Light Beige","Knitwear","T-shirt in slub linen jersey with a low-cut neckline."
"0923168002","Felicia cord","Shirt","Garment Upper body","Solid","Beige","Blouses","Straight-cut shirt in heavy cotton corduroy with a collar, buttons down the front, a yoke at the back, a rounded hem and long sleeves with buttoned cuffs."
"0797892002","ED Milk slaks","Trousers","Garment Lower body","Solid","Light Beige","Trousers","Cigarette trousers in stretch twill with a regular waist that is elasticated at the back. Fake fly, diagonal side pockets, fake welt back pockets and ankle-length legs with creases."
"0411974005","OL BLIXTEN PQ sneaker","Sneakers","Shoes","Solid","Light Grey","Shoes","Trainers with lacing at the front, mesh linings, cotton twill insoles and rubber soles."
"0625779004","Cherry playsuit","Trousers","Garment Lower body","All over pattern","Dark Orange","Jersey Fancy","Sleeveless playsuit in viscose jersey with a V-neck front and back and narrow shoulder straps. Elasticated seam at the waist with decorative twisted ties with tassels, and short, wide legs."
"0715862004","BARRY BURN OUT HENLEY","Sweater","Garment Upper body","Treatment","Dark Green","Jersey Fancy","Henley shirt in slub jersey with a button placket and long sleeves with a tab and button."
"0852552001","CE - Manon hairpin V6","Hair clip","Accessories","Glittering/Metallic","Gold","Special Offers","CONSCIOUS EXCLUSIVE. Coral-shaped hair pin made partly from recycled metal decorated with faceted glass rhinestones. Length approx. 15 cm."
"0889575001","Johan rollerneck","Sweater","Garment Upper body","Melange","Black","Knitwear","Polo-neck jumper in a cotton knit with long sleeves and ribbing at the cuffs and hem."
"0696896001","Una Tee","T-shirt","Garment Upper body","Placement print","Dark Grey","Unknown","Wide-fitting sports top in fast-drying functional fabric with a print motif on the front, short cap sleeves and a rounded hem."
"0808662002","Noor PQ sandal","Sandals","Shoes","All over pattern","Yellow","Shoes","Slides with wide, crossover straps at the front. The top strap is adjustable and has a round covered metal buckle. Leather insoles and rubber soles."
"0456163021","Woody (1)","Hoodie","Garment Upper body","Solid","Blue","Jersey Basic","Wide top in sweatshirt fabric with a lined drawstring hood, kangaroo pocket and ribbing at the cuffs and hem."
"0866657001","Ellen 3p bikini","Underwear bottom","Underwear","Solid","Black","Under-, Nightwear","Bikini briefs in soft, organic cotton jersey with a mid waist, lined gusset and medium coverage at the back."
"0535388004","Cotton eye shirt","Shirt","Garment Upper body","Solid","Dark Grey","Dresses Ladies","Wide shirt in a soft weave with a collar, button placket, dropped shoulders, long sleeves and buttoned cuffs. Yoke with a pleat at the back, and a rounded hem with slits in the sides. Longer at the back."
"0688771001","Flirty Heart Bride aliceband","Hair/alice band","Accessories","Solid","Gold","Accessories","Satin-covered Alice band with glittery appliqués on the top."
"0641891001","Joffrey bomber","Jacket","Garment Upper body","Solid","Black","Outdoor","Padded bomber jacket in woven fabric with a slight sheen. Small, ribbed stand-up collar, zip down the front, side pockets and ribbing at the cuffs and hem. Lined."
"0599521001","Studio 55 Top","Top","Garment Upper body","Application/3D","Black","Dresses Ladies","Backless jersey top with small round studs and ties at the neck and hem."
