,article_id,prod_name,product_type_name,product_group_name,graphical_appearance_name,colour_group_name,garment_group_name,detail_desc,extra_description,product_in_natural_language
0,695255001,Siv t-shirt,T-shirt,Garment Upper body,All over pattern,Dark Blue,Jersey Fancy,Short-sleeved top in soft viscose jersey with a unique nursing feature. The design includes a double layer at the top to help retain warmth while allowing easier nursing access.,"The name of this product is Siv t-shirt. It is a Garment Upper body , more specifically it is a Dark Blue     Jersey Fancy, T-shirt. The graphical appearance of the product is All over pattern","The name of this product is Siv t-shirt. It is a Garment Upper body , more specifically it is a Dark Blue     Jersey Fancy, T-shirt. The graphical appearance of the product is All over pattern 
 More details: 
Short-sleeved top in soft viscose jersey with a unique nursing feature. The design includes a double layer at the top to help retain warmth while allowing easier nursing access."
1,821115007,RICHIE SKIRT,Skirt,Garment Lower body,Check,Pink,Skirts,"Short, pleated skirt in woven fabric with a high waist and concealed zip and press-stud at one side. Unlined.","The name of this product is RICHIE SKIRT. It is a Garment Lower body , more specifically it is a Pink     Skirts, Skirt. The graphical appearance of the product is Check","The name of this product is RICHIE SKIRT. It is a Garment Lower body , more specifically it is a Pink     Skirts, Skirt. The graphical appearance of the product is Check 
 More details: 
Short, pleated skirt in woven fabric with a high waist and concealed zip and press-stud at one side. Unlined."
2,553238008,THORN LS TEE,Sweater,Garment Upper body,Solid,White,Jersey Basic,"Wide, long-sleeved top in soft cotton jersey with an open chest pocket, ribbing around the neckline and short slits in the sides. Loose fit.","The name of this product is THORN LS TEE. It is a Garment Upper body , more specifically it is a White     Jersey Basic, Sweater. The graphical appearance of the product is Solid","The name of this product is THORN LS TEE. It is a Garment Upper body , more specifically it is a White     Jersey Basic, Sweater. The graphical appearance of the product is Solid 
 More details: 
Wide, long-sleeved top in soft cotton jersey with an open chest pocket, ribbing around the neckline and short slits in the sides. Loose fit."
3,627147001,Bling Me Up Push,Bikini top,Swimwear,Lace,Dark Red,Swimwear,"Fully lined bikini top with hole-patterned, underwired, moulded, padded cups that lift and shape, and ties at the back of the neck.","The name of this product is Bling Me Up Push. It is a Swimwear , more specifically it is a Dark Red     Swimwear, Bikini top. The graphical appearance of the product is Lace","The name of this product is Bling Me Up Push. It is a Swimwear , more specifically it is a Dark Red     Swimwear, Bikini top. The graphical appearance of the product is Lace 
 More details: 
Fully lined bikini top with hole-patterned, underwired, moulded, padded cups that lift and shape, and ties at the back of the neck."
4,794520001,Plus seam at back 1p tights,Underwear Tights,Socks & Tights,Solid,Black,Socks and Tights,Tights with a seam down the back of the legs. 30 denier.,"The name of this product is Plus seam at back 1p tights. It is a Socks & Tights , more specifically it is a Black     Socks and Tights, Underwear Tights. The graphical appearance of the product is Solid","The name of this product is Plus seam at back 1p tights. It is a Socks & Tights , more specifically it is a Black     Socks and Tights, Underwear Tights. The graphical appearance of the product is Solid 
 More details: 
Tights with a seam down the back of the legs. 30 denier."
5,697564030,KELLY SHIRT S.0,Shirt,Garment Upper body,Stripe,Blue,Blouses,"Shirt in airy cotton with a collar, buttons down the front, long sleeves with buttoned cuffs, and a rounded hem.","The name of this product is KELLY SHIRT S.0. It is a Garment Upper body , more specifically it is a Blue     Blouses, Shirt. The graphical appearance of the product is Stripe","The name of this product is KELLY SHIRT S.0. It is a Garment Upper body , more specifically it is a Blue     Blouses, Shirt. The graphical appearance of the product is Stripe 
 More details: 
Shirt in airy cotton with a collar, buttons down the front, long sleeves with buttoned cuffs, and a rounded hem."
6,698715001,Emma Fancy Slipon SG,Sneakers,Shoes,Placement print,Light Pink,Shoes,Slip-on trainers in cotton canvas with a print motif and sequins. Glittery elastic gores in the sides and a loop at the back. Contrasting colour canvas linings and insoles and rubber soles.,"The name of this product is Emma Fancy Slipon SG. It is a Shoes , more specifically it is a Light Pink     Shoes, Sneakers. The graphical appearance of the product is Placement print","The name of this product is Emma Fancy Slipon SG. It is a Shoes , more specifically it is a Light Pink     Shoes, Sneakers. The graphical appearance of the product is Placement print 
 More details: 
Slip-on trainers in cotton canvas with a print motif and sequins. Glittery elastic gores in the sides and a loop at the back. Contrasting colour canvas linings and insoles and rubber soles."
7,526562001,Sonny jogger,Trousers,Garment Lower body,Solid,Black,Trousers,"Pull-on trousers in stretch cotton twill with an elasticated drawstring waist, fake fly, side pockets and fake back pockets. Tapered legs with gathers below the knees and a zip at the hems.","The name of this product is Sonny jogger. It is a Garment Lower body , more specifically it is a Black     Trousers, Trousers. The graphical appearance of the product is Solid","The name of this product is Sonny jogger. It is a Garment Lower body , more specifically it is a Black     Trousers, Trousers. The graphical appearance of the product is Solid 
 More details: 
Pull-on trousers in stretch cotton twill with an elasticated drawstring waist, fake fly, side pockets and fake back pockets. Tapered legs with gathers below the knees and a zip at the hems."
8,649099001,Polkagris,Shorts,Garment Lower body,Stripe,Red,Shorts,"Shorts in a viscose and cotton weave containing some linen with a high paper bag waist and fly with a concealed zip. Pleats at the top, a detachable tie belt, side pockets and short legs with sewn-in turn-ups. Unlined.","The name of this product is Polkagris. It is a Garment Lower body , more specifically it is a Red     Shorts, Shorts. The graphical appearance of the product is Stripe","The name of this product is Polkagris. It is a Garment Lower body , more specifically it is a Red     Shorts, Shorts. The graphical appearance of the product is Stripe 
 More details: 
Shorts in a viscose and cotton weave containing some linen with a high paper bag waist and fly with a concealed zip. Pleats at the top, a detachable tie belt, side pockets and short legs with sewn-in turn-ups. Unlined."
9,762061003,2P S/J pants,Trousers,Garment Lower body,All over pattern,Light Turquoise,Jersey Basic,Trousers in soft organic cotton jersey with an elasticated drawstring waist.,"The name of this product is 2P S/J pants. It is a Garment Lower body , more specifically it is a Light Turquoise     Jersey Basic, Trousers. The graphical appearance of the product is All over pattern","The name of this product is 2P S/J pants. It is a Garment Lower body , more specifically it is a Light Turquoise     Jersey Basic, Trousers. The graphical appearance of the product is All over pattern 
 More details: 
Trousers in soft organic cotton jersey with an elasticated drawstring waist."
